time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-09 00:00:00+00:00,6,1,0,0
2023-11-13 00:00:00+00:00,2,1,0,0
2023-11-21 00:00:00+00:00,9,7,0,0
2023-11-22 00:00:00+00:00,1,1,0,0
2023-11-26 00:00:00+00:00,2,2,0,0
2023-11-27 00:00:00+00:00,1,1,9,1
2023-12-03 00:00:00+00:00,3,3,17,1
2023-12-04 00:00:00+00:00,1,1,0,0
2023-12-06 00:00:00+00:00,1,1,0,0
2023-12-09 00:00:00+00:00,1,1,0,0
2023-12-10 00:00:00+00:00,3,3,0,0
2023-12-11 00:00:00+00:00,1,1,0,0
2023-12-17 00:00:00+00:00,4,4,0,0
2023-12-18 00:00:00+00:00,1,1,0,0
2023-12-20 00:00:00+00:00,0,0,1,1
2023-12-21 00:00:00+00:00,1,1,0,0
2023-12-24 00:00:00+00:00,3,3,0,0
2023-12-25 00:00:00+00:00,1,1,0,0
2023-12-27 00:00:00+00:00,1,1,0,0
2023-12-28 00:00:00+00:00,0,0,26,1
2023-12-29 00:00:00+00:00,3,2,0,0
2023-12-30 00:00:00+00:00,2,1,0,0
2023-12-31 00:00:00+00:00,2,2,0,0
2024-01-01 00:00:00+00:00,3,2,0,0
2024-01-04 00:00:00+00:00,1,1,0,0
2024-01-06 00:00:00+00:00,0,0,1,1
2024-01-07 00:00:00+00:00,3,3,0,0
2024-01-08 00:00:00+00:00,1,1,0,0
2024-01-12 00:00:00+00:00,3,3,1,1
2024-01-13 00:00:00+00:00,0,0,1,1
2024-01-14 00:00:00+00:00,3,3,0,0
2024-01-15 00:00:00+00:00,2,2,0,0
2024-01-19 00:00:00+00:00,2,2,0,0
2024-01-21 00:00:00+00:00,4,4,0,0
2024-01-22 00:00:00+00:00,1,1,0,0
2024-01-28 00:00:00+00:00,3,3,5,1
2024-01-29 00:00:00+00:00,1,1,0,0
2024-02-04 00:00:00+00:00,3,3,0,0
2024-02-05 00:00:00+00:00,1,1,0,0
2024-02-11 00:00:00+00:00,3,3,0,0
2024-02-12 00:00:00+00:00,1,1,0,0
2024-02-13 00:00:00+00:00,1,1,0,0
2024-02-14 00:00:00+00:00,1,1,0,0
2024-02-15 00:00:00+00:00,1,1,0,0
2024-02-18 00:00:00+00:00,2,2,0,0
2024-02-19 00:00:00+00:00,1,1,0,0
2024-02-20 00:00:00+00:00,0,0,1,1
2024-02-21 00:00:00+00:00,1,1,1,1
2024-02-25 00:00:00+00:00,2,2,0,0
2024-02-26 00:00:00+00:00,1,1,1,1
2024-03-03 00:00:00+00:00,2,2,0,0
2024-03-04 00:00:00+00:00,1,1,0,0
2024-03-10 00:00:00+00:00,2,2,0,0
2024-03-11 00:00:00+00:00,1,1,0,0
2024-03-12 00:00:00+00:00,1,1,0,0
2024-03-17 00:00:00+00:00,2,2,0,0
2024-03-18 00:00:00+00:00,1,1,0,0
2024-03-24 00:00:00+00:00,2,2,0,0
2024-03-28 00:00:00+00:00,2,2,0,0
2024-03-31 00:00:00+00:00,1,1,0,0
2024-04-06 00:00:00+00:00,1,1,0,0
2024-04-07 00:00:00+00:00,1,1,0,0
2024-04-13 00:00:00+00:00,1,1,0,0
2024-04-14 00:00:00+00:00,3,2,0,0
2024-04-21 00:00:00+00:00,6,3,0,0
2024-04-24 00:00:00+00:00,0,0,1,1
2024-04-27 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,5,2,0,0
2024-05-05 00:00:00+00:00,2,2,0,0
2024-05-06 00:00:00+00:00,1,1,0,0
2024-05-12 00:00:00+00:00,5,2,0,0
2024-05-19 00:00:00+00:00,1,1,0,0
2024-05-20 00:00:00+00:00,1,1,0,0
2024-05-26 00:00:00+00:00,1,1,0,0
2024-06-02 00:00:00+00:00,2,2,0,0
2024-06-03 00:00:00+00:00,2,2,0,0
2024-06-09 00:00:00+00:00,5,2,0,0
2024-06-12 00:00:00+00:00,1,1,0,0
2024-06-14 00:00:00+00:00,1,1,0,0
2024-06-23 00:00:00+00:00,3,1,0,0
2024-06-25 00:00:00+00:00,1,1,0,0
2024-07-01 00:00:00+00:00,1,1,0,0
2024-07-11 00:00:00+00:00,2,1,0,0
